Index,Name,Latitude,Longitude,Address
360,Alexander Kwapoong Car Park,5.6373895,-0.1854686,"JRP7+WMX, Legon East Road, Accra"
361,EnkasaAutomobiles Annex,5.6499266,-0.169231,"Trinity Avenue, Accra"
362,Vetmart and Pet Grooming Ent.,5.6668264,-0.182405,"TF hostels, North Legon Opposite, Accra"
363,Dogfadakennel,5.667599399999999,-0.1947438,"New York Washing Bay, 290 Haatso-Atomic Road, Accra"
364,Silverpill Pharmacy,5.651668300000001,-0.1894414,"Volta Hall, University of Ghana Legon"
365,Legon Hall Pharmacy,5.6467891,-0.1886103,Accra
366,Ernest Chemists LTD,5.653152899999999,-0.1801954,"MR39+7W7, Legon Boundary, Accra"
367,Pills and Tabs,5.648109199999999,-0.1788023,"Legon East Road, Accra"
368,CS Allot Pharmacy  Legon,5.658379299999999,-0.1807054,"Ghana Hostels, Block C, Accra"
369,Adenta Pharmacy Ltd,5.6459098,-0.1790534,"N4, Accra"
370,Solutions Pharmacy,5.6409639,-0.1774419,"JRRF+92M, Accra"
371,PillPoint Pharmacy - Okponglo,5.640961600000001,-0.1774315,Accra
372,Tabletsxtra | Pharmacy Mart,5.640958200000001,-0.1774221,"La-Bawaleshi Road, Accra"
373,Zoe Pharmaceuticals Limited,5.667459699999999,-0.185721,"HNo 15 Haatso, Accra"
374,CELIA PHARMACY,5.6414331,-0.1738862,"East Legon, Opkonglo, Accra"
375,The Medishop Pharmacy,5.6672028,-0.1935214,"306 Haatso-Atomic Road, Accra"
376,Rhamshiv (Equity) Pharmacy,5.641346,-0.1738563,"JRRG+GFJ, Accra"
377,Pharmacy Direct GH - Atomic,5.6672492,-0.1803563,"Centre Point Mall, Haatso"
378,Radiance Pharmacy,5.668672600000001,-0.1880097,Accra
379,St Kem Pharmacy and Mart,5.668105599999999,-0.1818975,MR99+66X
380,Origin Chemist  East Legon,5.651157200000001,-0.1691529,"Trinity Avenue, Accra"
381,Discount Pharmacy,5.651153400000001,-0.1690116,"Trinity Avenue, Accra"
382,Ghana Police Service (Legon Station),5.650466300000001,-0.1796249,"MR2C+55J, Legon East Road, Accra"
383,University Post Office,5.650859699999999,-0.1877532,"MR26+8VX, W.E.B. Dubois Road, Accra"
384,Ghana Post  Legon,5.650817700000001,-0.1878063,"W.E.B. Dubois Road, Accra"
385,University Basic School  Legon,5.642704399999999,-0.1879888,"University of Ghana Stadium, Accra"
386,Legon Primary School,5.649875899999999,-0.1780338,"JRXC+XQ4, Accra"
387,Staff Village Basic School,5.6498347,-0.177865,"Legon Primary School, Accra"
388,Grace Child Preparatory School,5.667527399999999,-0.1787462,"Haatso-Atomic Road, Accra"
389,CBC Properties - Ghana,5.641452699999999,-0.1735128,"GM Plaza, Okponglo, La-Bawaleshi Road, Accra"
390,University Estates Department,5.647524099999999,-0.1812663,"JRX9+2F5, La Road, Accra"
391,dreamluxury,5.6464196,-0.1957506,"Legon, 16 little legon, Accra"
392,Golden Image Graffix,5.641538300000001,-0.17784,"Legon East Road, Accra"
393,Batsa The Realtor,5.640437899999999,-0.1774887,"Oknonglo Traffic, Accra"
394,RE/MAX Ghana,5.667770000000001,-0.1877131,"1 Agbogba - Ashongman Road, Accra"
395,Woodgreen Developers,5.6681143,-0.188343,"Kwabenya, Agbogba - Ashongman Road, Accra"
396,MURPHY HOMES GHANA,5.640305999999998,-0.1751744,"Avila village, Akosombo - Tema Road, Tema"
397,Justice Obri yeboah’s Villa,5.6687463,-0.188318,"GM 078, 4631 Agbogba - Ashongman Road"
398,Kenon Properties Limited,5.6648437,-0.1981289,"Jasmine Street, Papao Haatso Road, Accra"
399,Praemus Properties Limited,5.6509271,-0.1692068,"MR2J+98F, Trinity Avenue, Accra"
400,Solcal Ventures Ltd.,5.641508,-0.1724074,"Blow Lounge, La Bawlashie Road 7. Before, Accra"
401,Sompa Properties,5.6509934,-0.1690241,"Trinity Avenue, Accra"
402,Bonjour,5.6474782,-0.1789999,"JRWC+XCR, Legon East Road, Accra"
403,Barita's Restaurant,5.651301,-0.1922652,"Legon Campus, Commonwealth Hall, Accra"
404,Commonwealth Hall Dining Hall,5.651211000000001,-0.1926186,"MR24+FXJ, Accra"
405,Bush Canteen,5.6481347,-0.1810349,"JRX9+7H4, Legon East Road, Accra"
406,Candy's Spot,5.6668314,-0.1865006,"Haatso-Atomic Road, Accra"
407,KFC Haatso Shell,5.6678343,-0.1884243,"Shell Filling Station, Cnr Haatso-Atomic, & Agbogba - Ashongman Road, Accra"
408,De'lish Restaurant,5.641330000000001,-0.1736955,"Postal Address Box CT 6241 Cantonments Accra, Store Location: Bawaleshie Road - Okponglo (Google maps calls it Freetown Ave.)), 10 La-Bawaleshi Road, Accra"
409,Pan Express Fresh&Fast,5.650045299999999,-0.1692387,"MR2J+286, Trinity Avenue, Accra"
410,Tasty Treats,5.6341398,-0.1842811,Accra
411,Papaye Fast Food Legon,5.651820900000001,-0.1866358,Accra
412,Mr Treats,5.650639399999999,-0.1870506,"Mensah Sarbah Hall, Accra"
413,Majory Eatery,5.650639399999999,-0.1870506,Accra
414,Gironse restaurant,5.650639399999999,-0.1870506,"MR27+754, Accra"
415,Tayiba Bar and Grill,5.650401799999999,-0.1867663,Adjacent Legon Botanical Garden at Agbogba Junction
416,Legon Hall Dining Hall,5.6503009,-0.18815,"MR26+4PH, Barimah Road, Accra"
417,Farmer's Kitchen,5.6504293,-0.1853843,"MR27+5RH, Doutor J. B. Danquah Avenue, Accra"
418,Aunties Lizzy's kitchen,5.6536434,-0.1859412,"MR37+FJ3, J.K.M. Hodasi Road, Accra"
419,Village Canteen,5.6501398,-0.1854612,"MR27+3R3, Doutor J. B. Danquah Avenue, Accra"
420,Legon Hall Barbecue Joint,5.6502884,-0.1888114,"MR26+4F8, Accra"
421,Time Out,5.649852000000001,-0.1889492,"Barimah Road, Accra"
422,Department of Statistics,5.6538662,-0.1838368,"Department of Mathematics, Botanical Gardens Road, Accra"
423,School of Information and Communication Studies,5.651743499999998,-0.1813064,"MR29+MFW, Osu Road, Accra"
424,School of Nursing and Midwifery,5.6535398,-0.1902256,"MR35+CW6, J.K.M. Hodasi Road, Accra"
425,Centre for Remote Sensing and Geographic Information Services,5.6513738,-0.1829197,"Annie Jiagge Road, Accra"
